code_id,count,frequency,is_active,rank
11291,1053,8.2265625e-05,1,368
2318,1053,8.2265625e-05,1,364
3521,1053,8.2265625e-05,1,366
2000,1053,8.2265625e-05,1,367
1815,1053,8.2265625e-05,1,365
15013,1052,8.21875e-05,1,370
9674,1052,8.21875e-05,1,369
11352,1051,8.2109375e-05,1,373
12225,1051,8.2109375e-05,1,372
9009,1051,8.2109375e-05,1,371
5290,1050,8.203125e-05,1,378
12199,1050,8.203125e-05,1,377
6925,1050,8.203125e-05,1,375
13409,1050,8.203125e-05,1,376
1597,1050,8.203125e-05,1,374
13366,1048,8.1875e-05,1,381
332,1048,8.1875e-05,1,380
4666,1048,8.1875e-05,1,379
13016,1047,8.1796875e-05,1,383
14063,1047,8.1796875e-05,1,382
14585,1046,8.171875e-05,1,384
8046,1045,8.1640625e-05,1,386
13608,1045,8.1640625e-05,1,385
4109,1044,8.15625e-05,1,390
707,1044,8.15625e-05,1,388
9599,1044,8.15625e-05,1,389
2550,1044,8.15625e-05,1,391
8080,1044,8.15625e-05,1,387
6854,1044,8.15625e-05,1,392
12470,1043,8.1484375e-05,1,394
3922,1043,8.1484375e-05,1,393
5002,1043,8.1484375e-05,1,395
1362,1042,8.140625e-05,1,400
97,1042,8.140625e-05,1,396
2263,1042,8.140625e-05,1,398
363,1042,8.140625e-05,1,397
3000,1042,8.140625e-05,1,399
2115,1041,8.1328125e-05,1,405
6511,1041,8.1328125e-05,1,404
3779,1041,8.1328125e-05,1,406
2408,1041,8.1328125e-05,1,408
3589,1041,8.1328125e-05,1,401
4239,1041,8.1328125e-05,1,407
127,1041,8.1328125e-05,1,403
15869,1041,8.1328125e-05,1,402
4734,1040,8.125e-05,1,410
7877,1040,8.125e-05,1,412
4118,1040,8.125e-05,1,411
8679,1040,8.125e-05,1,409
494,1039,8.1171875e-05,1,415
15638,1039,8.1171875e-05,1,414
11518,1039,8.1171875e-05,1,416
7831,1039,8.1171875e-05,1,413
4343,1038,8.109375e-05,1,419
2103,1038,8.109375e-05,1,417
12161,1038,8.109375e-05,1,418
4782,1038,8.109375e-05,1,420
5649,1037,8.1015625e-05,1,422
8660,1037,8.1015625e-05,1,423
9025,1037,8.1015625e-05,1,421
3918,1037,8.1015625e-05,1,425
15836,1037,8.1015625e-05,1,424
7906,1036,8.09375e-05,1,429
5476,1036,8.09375e-05,1,426
1825,1036,8.09375e-05,1,427
2195,1036,8.09375e-05,1,428
7979,1035,8.0859375e-05,1,430
2468,1035,8.0859375e-05,1,431
8544,1034,8.078125e-05,1,432
7785,1034,8.078125e-05,1,437
2635,1034,8.078125e-05,1,439
11180,1034,8.078125e-05,1,435
2062,1034,8.078125e-05,1,434
5533,1034,8.078125e-05,1,440
7466,1034,8.078125e-05,1,442
3276,1034,8.078125e-05,1,444
8629,1034,8.078125e-05,1,438
1706,1034,8.078125e-05,1,441
1455,1034,8.078125e-05,1,436
5532,1034,8.078125e-05,1,433
11546,1034,8.078125e-05,1,443
16167,1033,8.0703125e-05,1,446
4388,1033,8.0703125e-05,1,445
3494,1033,8.0703125e-05,1,447
13275,1032,8.0625e-05,1,448
3011,1031,8.0546875e-05,1,449
6578,1031,8.0546875e-05,1,451
2055,1031,8.0546875e-05,1,450
3113,1030,8.046875e-05,1,452
16039,1030,8.046875e-05,1,454
1996,1030,8.046875e-05,1,453
12123,1029,8.0390625e-05,1,459
3733,1029,8.0390625e-05,1,458
15905,1029,8.0390625e-05,1,456
8464,1029,8.0390625e-05,1,455
15285,1029,8.0390625e-05,1,457
7340,1028,8.03125e-05,1,462
14991,1028,8.03125e-05,1,464
6698,1028,8.03125e-05,1,461
13367,1028,8.03125e-05,1,460
1291,1028,8.03125e-05,1,463
14937,1027,8.0234375e-05,1,466
3838,1027,8.0234375e-05,1,467
1496,1027,8.0234375e-05,1,465
1481,1027,8.0234375e-05,1,468
11732,1026,8.015625e-05,1,469
15928,1026,8.015625e-05,1,471
14772,1026,8.015625e-05,1,470
7077,1026,8.015625e-05,1,472
2631,1025,8.0078125e-05,1,475
1088,1025,8.0078125e-05,1,474
1197,1025,8.0078125e-05,1,473
8246,1024,8e-05,1,478
11040,1024,8e-05,1,477
8707,1024,8e-05,1,476
861,1023,7.9921875e-05,1,480
15506,1023,7.9921875e-05,1,479
1214,1022,7.984375e-05,1,482
9616,1022,7.984375e-05,1,481
1769,1022,7.984375e-05,1,484
11288,1022,7.984375e-05,1,483
15494,1021,7.9765625e-05,1,488
2728,1021,7.9765625e-05,1,487
12832,1021,7.9765625e-05,1,486
11873,1021,7.9765625e-05,1,485
15113,1020,7.96875e-05,1,492
16164,1020,7.96875e-05,1,490
3258,1020,7.96875e-05,1,495
13263,1020,7.96875e-05,1,494
16327,1020,7.96875e-05,1,493
344,1020,7.96875e-05,1,489
2139,1020,7.96875e-05,1,491
764,1019,7.9609375e-05,1,496
3291,1019,7.9609375e-05,1,497
3619,1019,7.9609375e-05,1,501
8378,1019,7.9609375e-05,1,500
12268,1019,7.9609375e-05,1,499
615,1019,7.9609375e-05,1,498
4774,1018,7.953125e-05,1,506
9524,1018,7.953125e-05,1,503
2278,1018,7.953125e-05,1,505
7928,1018,7.953125e-05,1,504
11029,1018,7.953125e-05,1,502
11248,1017,7.9453125e-05,1,513
15453,1017,7.9453125e-05,1,510
2855,1017,7.9453125e-05,1,509
8442,1017,7.9453125e-05,1,512
3784,1017,7.9453125e-05,1,508
9453,1017,7.9453125e-05,1,507
5209,1017,7.9453125e-05,1,511
8168,1016,7.9375e-05,1,515
14830,1016,7.9375e-05,1,519
1293,1016,7.9375e-05,1,516
7506,1016,7.9375e-05,1,517
7402,1016,7.9375e-05,1,518
5581,1016,7.9375e-05,1,514
13768,1015,7.9296875e-05,1,524
3252,1015,7.9296875e-05,1,522
2260,1015,7.9296875e-05,1,520
2309,1015,7.9296875e-05,1,523
1129,1015,7.9296875e-05,1,521
3196,1014,7.921875e-05,1,526
12835,1014,7.921875e-05,1,525
11391,1014,7.921875e-05,1,527
6039,1013,7.9140625e-05,1,532
11456,1013,7.9140625e-05,1,529
2668,1013,7.9140625e-05,1,530
130,1013,7.9140625e-05,1,531
13220,1013,7.9140625e-05,1,528
15115,1013,7.9140625e-05,1,533
12679,1012,7.90625e-05,1,535
618,1012,7.90625e-05,1,534
8273,1012,7.90625e-05,1,537
2701,1012,7.90625e-05,1,539
3887,1012,7.90625e-05,1,538
7224,1012,7.90625e-05,1,536
13726,1011,7.8984375e-05,1,543
1334,1011,7.8984375e-05,1,542
14526,1011,7.8984375e-05,1,540
12452,1011,7.8984375e-05,1,541
3096,1010,7.890625e-05,1,550
2758,1010,7.890625e-05,1,545
14867,1010,7.890625e-05,1,547
834,1010,7.890625e-05,1,546
13049,1010,7.890625e-05,1,544
4200,1010,7.890625e-05,1,548
1130,1010,7.890625e-05,1,549
8889,1009,7.8828125e-05,1,555
5501,1009,7.8828125e-05,1,551
473,1009,7.8828125e-05,1,557
15045,1009,7.8828125e-05,1,558
1039,1009,7.8828125e-05,1,554
4941,1009,7.8828125e-05,1,556
2981,1009,7.8828125e-05,1,552
14945,1009,7.8828125e-05,1,553
8845,1008,7.875e-05,1,561
1902,1008,7.875e-05,1,559
7221,1008,7.875e-05,1,564
12719,1008,7.875e-05,1,563
1074,1008,7.875e-05,1,560
5805,1008,7.875e-05,1,562
7372,1007,7.8671875e-05,1,566
1605,1007,7.8671875e-05,1,567
1066,1007,7.8671875e-05,1,569
6114,1007,7.8671875e-05,1,570
4546,1007,7.8671875e-05,1,571
13591,1007,7.8671875e-05,1,568
13228,1007,7.8671875e-05,1,565
14469,1006,7.859375e-05,1,573
3505,1006,7.859375e-05,1,572
9000,1006,7.859375e-05,1,576
15096,1006,7.859375e-05,1,575
2364,1006,7.859375e-05,1,577
11755,1006,7.859375e-05,1,574
11888,1006,7.859375e-05,1,578
12185,1005,7.8515625e-05,1,585
237,1005,7.8515625e-05,1,580
6966,1005,7.8515625e-05,1,584
3072,1005,7.8515625e-05,1,582
8,1005,7.8515625e-05,1,579
6283,1005,7.8515625e-05,1,581
6842,1005,7.8515625e-05,1,583
3342,1004,7.84375e-05,1,589
13525,1004,7.84375e-05,1,588
13008,1004,7.84375e-05,1,591
1647,1004,7.84375e-05,1,587
4644,1004,7.84375e-05,1,586
6543,1004,7.84375e-05,1,590
3655,1003,7.8359375e-05,1,595
9816,1003,7.8359375e-05,1,596
16282,1003,7.8359375e-05,1,592
416,1003,7.8359375e-05,1,594
9608,1003,7.8359375e-05,1,593
9546,1002,7.828125e-05,1,602
15922,1002,7.828125e-05,1,599
1617,1002,7.828125e-05,1,597
7556,1002,7.828125e-05,1,600
10288,1002,7.828125e-05,1,598
13448,1002,7.828125e-05,1,601
684,1002,7.828125e-05,1,603
2881,1001,7.8203125e-05,1,604
4815,1001,7.8203125e-05,1,605
6007,1000,7.8125e-05,1,610
11128,1000,7.8125e-05,1,615
11084,1000,7.8125e-05,1,608
15778,1000,7.8125e-05,1,616
8980,1000,7.8125e-05,1,613
16103,1000,7.8125e-05,1,607
2637,1000,7.8125e-05,1,611
