model,sample_id,level,sigma,token_flip_frac
vqgan,n01496331/ILSVRC2012_val_00021461,mid,0.2,0.953125
vqgan,n01496331/ILSVRC2012_val_00021461,high,0.5,0.99609375
vqgan,n01496331/ILSVRC2012_val_00030367,low,0.1,0.76953125
vqgan,n01496331/ILSVRC2012_val_00030367,mid,0.2,0.90625
vqgan,n01496331/ILSVRC2012_val_00030367,high,0.5,0.97265625
vqgan,n01496331/ILSVRC2012_val_00042751,low,0.1,0.68359375
vqgan,n01496331/ILSVRC2012_val_00042751,mid,0.2,0.86328125
vqgan,n01496331/ILSVRC2012_val_00042751,high,0.5,0.97265625
vqgan,n01498041/ILSVRC2012_val_00002284,low,0.1,0.5390625
vqgan,n01498041/ILSVRC2012_val_00002284,mid,0.2,0.76171875
vqgan,n01498041/ILSVRC2012_val_00002284,high,0.5,0.95703125
vqgan,n01498041/ILSVRC2012_val_00008952,low,0.1,0.859375
vqgan,n01498041/ILSVRC2012_val_00008952,mid,0.2,0.953125
vqgan,n01498041/ILSVRC2012_val_00008952,high,0.5,0.99609375
vqgan,n01498041/ILSVRC2012_val_00024719,low,0.1,0.91015625
vqgan,n01498041/ILSVRC2012_val_00024719,mid,0.2,0.9609375
vqgan,n01498041/ILSVRC2012_val_00024719,high,0.5,0.99609375
vqgan,n01498041/ILSVRC2012_val_00030380,low,0.1,0.8203125
vqgan,n01498041/ILSVRC2012_val_00030380,mid,0.2,0.9296875
vqgan,n01498041/ILSVRC2012_val_00030380,high,0.5,0.9921875
vqgan,n01498041/ILSVRC2012_val_00037753,low,0.1,0.83984375
vqgan,n01498041/ILSVRC2012_val_00037753,mid,0.2,0.921875
vqgan,n01498041/ILSVRC2012_val_00037753,high,0.5,0.98828125
vqgan,n01498041/ILSVRC2012_val_00042534,low,0.1,0.796875
vqgan,n01498041/ILSVRC2012_val_00042534,mid,0.2,0.90234375
vqgan,n01498041/ILSVRC2012_val_00042534,high,0.5,0.97265625
vqgan,n01498041/ILSVRC2012_val_00049253,low,0.1,0.828125
vqgan,n01498041/ILSVRC2012_val_00049253,mid,0.2,0.92578125
vqgan,n01498041/ILSVRC2012_val_00049253,high,0.5,0.9921875
vqgan,n01514668/ILSVRC2012_val_00004463,low,0.1,0.7421875
vqgan,n01514668/ILSVRC2012_val_00004463,mid,0.2,0.91796875
vqgan,n01514668/ILSVRC2012_val_00004463,high,0.5,0.98828125
vqgan,n01514668/ILSVRC2012_val_00009663,low,0.1,0.7890625
